item_name,Slot,Phase,instance_name,source_name,item_quality,item_id,url
Chestguard of the Forgotten Protector,Chest,3,Black Temple,BT - Illidan,epic,31091,https://tbc.wowhead.com/item=31091
Chestguard of the Forgotten Vanquisher,Chest,3,Black Temple,BT - Illidan,epic,31090,https://tbc.wowhead.com/item=31090
Chestguard of Relentless Storms,Chest,3,Hyjal Summit,MH - Trash & Recipies,epic,32592,https://tbc.wowhead.com/item=32592
Golden Links of Restoration,Chest,3,Hyjal Summit,MH - Anetheron,epic,30887,https://tbc.wowhead.com/item=30887
Don Rodrigo's Poncho,Chest,3,Hyjal Summit,MH - Azgalor,epic,30899,https://tbc.wowhead.com/item=30899
Glory of the Defender,Chest,3,Hyjal Summit,MH - Azgalor,epic,30896,https://tbc.wowhead.com/item=30896
Mail of Fevered Pursuit,Chest,3,Hyjal Summit,MH - Archimonde,epic,30907,https://tbc.wowhead.com/item=30907
Midnight Chestguard,Chest,3,Hyjal Summit,MH - Archimonde,epic,30905,https://tbc.wowhead.com/item=30905
Robes of Rhonin,Chest,3,Hyjal Summit,MH - Archimonde,epic,30913,https://tbc.wowhead.com/item=30913
Savior's Grasp,Chest,3,Hyjal Summit,MH - Archimonde,epic,30904,https://tbc.wowhead.com/item=30904
Windshear Boots,Feet,1,Gruul's Lair,Gruul,epic,28810,https://tbc.wowhead.com/item=28810
Boots of Elusion,Feet,1,Karazhan,Trash,epic,30641,https://tbc.wowhead.com/item=30641
Zierhut's Lost Treads,Feet,1,Karazhan,Trash,epic,30674,https://tbc.wowhead.com/item=30674
Glider's Boots,Feet,1,Karazhan,Servants,epic,30681,https://tbc.wowhead.com/item=30681
Glider's Foot-Wraps,Feet,1,Karazhan,Servants,epic,30680,https://tbc.wowhead.com/item=30680
Glider's Greaves,Feet,1,Karazhan,Servants,epic,30683,https://tbc.wowhead.com/item=30683
Glider's Sabatons,Feet,1,Karazhan,Servants,epic,30682,https://tbc.wowhead.com/item=30682
Boots of Valiance,Feet,1,Karazhan,Moroes,epic,28569,https://tbc.wowhead.com/item=28569
Edgewalker Longboots,Feet,1,Karazhan,Moroes,epic,28545,https://tbc.wowhead.com/item=28545
Boots of Foretelling,Feet,1,Karazhan,Maiden,epic,28517,https://tbc.wowhead.com/item=28517
Ruby Slippers,Feet,1,Karazhan,Opera Event,epic,28585,https://tbc.wowhead.com/item=28585
Battlescar Boots,Feet,1,Karazhan,Chess Event,epic,28747,https://tbc.wowhead.com/item=28747
Fiend Slayer Boots,Feet,1,Karazhan,Chess Event,epic,28746,https://tbc.wowhead.com/item=28746
Forestlord Striders,Feet,1,Karazhan,Chess Event,epic,28752,https://tbc.wowhead.com/item=28752
Boots of the Incorrupt,Feet,1,Karazhan,Shade of Aran,epic,28663,https://tbc.wowhead.com/item=28663
Boots of the Infernal Coven,Feet,1,Karazhan,Shade of Aran,epic,28670,https://tbc.wowhead.com/item=28670
Rapscallion Boots,Feet,1,Karazhan,Shade of Aran,epic,28669,https://tbc.wowhead.com/item=28669
Ferocious Swift-Kickers,Feet,1,Karazhan,Nightbane,epic,28610,https://tbc.wowhead.com/item=28610
Ironstriders of Urgency,Feet,1,Karazhan,Nightbane,epic,28608,https://tbc.wowhead.com/item=28608
Pattern: Boots of Blasting,Feet,2,Tempest Keep,Recipes,epic,30282,https://tbc.wowhead.com/item=30282
Pattern: Boots of Natural Grace,Feet,2,Tempest Keep,Recipes,epic,30305,https://tbc.wowhead.com/item=30305
Pattern: Boots of the Crimson Hawk,Feet,2,Tempest Keep,Recipes,epic,30307,https://tbc.wowhead.com/item=30307
Pattern: Boots of the Long Road,Feet,2,Tempest Keep,Recipes,epic,30283,https://tbc.wowhead.com/item=30283
Pattern: Boots of Utter Darkness,Feet,2,Tempest Keep,Recipes,epic,30306,https://tbc.wowhead.com/item=30306
Pattern: Hurricane Boots,Feet,2,Tempest Keep,Recipes,epic,30308,https://tbc.wowhead.com/item=30308
Plans: Boots of the Protector,Feet,2,Tempest Keep,Recipes,epic,30323,https://tbc.wowhead.com/item=30323
Plans: Red Havoc Boots,Feet,2,Tempest Keep,Recipes,epic,30324,https://tbc.wowhead.com/item=30324
Boots of the Resilient,Feet,2,Tempest Keep,Solarian,epic,32267,https://tbc.wowhead.com/item=32267
Star-Strider Boots,Feet,2,Tempest Keep,Solarian,epic,29951,https://tbc.wowhead.com/item=29951
Boots of Courage Unending,Feet,2,Serpentshrine Cavern,Trash,epic,30027,https://tbc.wowhead.com/item=30027
Pattern: Boots of Blasting,Feet,2,Serpentshrine Cavern,Recipes,epic,30282,https://tbc.wowhead.com/item=30282
Pattern: Boots of Natural Grace,Feet,2,Serpentshrine Cavern,Recipes,epic,30305,https://tbc.wowhead.com/item=30305
Pattern: Boots of the Crimson Hawk,Feet,2,Serpentshrine Cavern,Recipes,epic,30307,https://tbc.wowhead.com/item=30307
Pattern: Boots of the Long Road,Feet,2,Serpentshrine Cavern,Recipes,epic,30283,https://tbc.wowhead.com/item=30283
Pattern: Boots of Utter Darkness,Feet,2,Serpentshrine Cavern,Recipes,epic,30306,https://tbc.wowhead.com/item=30306
Pattern: Hurricane Boots,Feet,2,Serpentshrine Cavern,Recipes,epic,30308,https://tbc.wowhead.com/item=30308
Plans: Boots of the Protector,Feet,2,Serpentshrine Cavern,Recipes,epic,30323,https://tbc.wowhead.com/item=30323
Plans: Red Havoc Boots,Feet,2,Serpentshrine Cavern,Recipes,epic,30324,https://tbc.wowhead.com/item=30324
Boots of the Shifting Nightmare,Feet,2,Serpentshrine Cavern,Hydross,epic,30050,https://tbc.wowhead.com/item=30050
Boots of Effortless Striking,Feet,2,Serpentshrine Cavern,Lurker Below,epic,30060,https://tbc.wowhead.com/item=30060
Tempest-Strider Boots,Feet,2,Serpentshrine Cavern,Lurker Below,epic,30066,https://tbc.wowhead.com/item=30066
Velvet Boots of the Guardian,Feet,2,Serpentshrine Cavern,Lurker Below,epic,30067,https://tbc.wowhead.com/item=30067
Orca-Hide Boots,Feet,2,Serpentshrine Cavern,Leotheras,epic,30092,https://tbc.wowhead.com/item=30092
Soul-Strider Boots,Feet,2,Serpentshrine Cavern,Karathress,epic,30100,https://tbc.wowhead.com/item=30100
Warboots of Obliteration,Feet,2,Serpentshrine Cavern,Morogrim,epic,30081,https://tbc.wowhead.com/item=30081
Cobra-Lash Boots,Feet,2,Serpentshrine Cavern,Lady Vashj,epic,30104,https://tbc.wowhead.com/item=30104
Boots of the Divine Light,Feet,3,Black Temple,BT - Trash & Recipies,epic,32609,https://tbc.wowhead.com/item=32609
Treads of the Den Mother,Feet,3,Black Temple,BT - Trash & Recipies,epic,32593,https://tbc.wowhead.com/item=32593
Boots of Oceanic Fury,Feet,3,Black Temple,BT - Naj'entus,epic,32242,https://tbc.wowhead.com/item=32242
Pearl Inlaid Boots,Feet,3,Black Temple,BT - Naj'entus,epic,32243,https://tbc.wowhead.com/item=32243
Slippers of the Seacaller,Feet,3,Black Temple,BT - Naj'entus,epic,32239,https://tbc.wowhead.com/item=32239
Tide-stomper's Greaves,Feet,3,Black Temple,BT - Naj'entus,epic,32245,https://tbc.wowhead.com/item=32245
Myrmidon's Treads,Feet,3,Black Temple,BT - Shade,epic,32268,https://tbc.wowhead.com/item=32268
Softstep Boots of Tracking,Feet,3,Black Temple,BT - Gorefiend,epic,32510,https://tbc.wowhead.com/item=32510
Dreadboots of the Legion,Feet,3,Black Temple,BT - Reliquary,epic,32345,https://tbc.wowhead.com/item=32345
Naturewarden's Treads,Feet,3,Black Temple,BT - Reliquary,epic,32352,https://tbc.wowhead.com/item=32352
Shadowmaster's Boots,Feet,3,Black Temple,BT - Shahraz,epic,32366,https://tbc.wowhead.com/item=32366
Boots of the Divine Light,Feet,3,Hyjal Summit,MH - Trash & Recipies,epic,32609,https://tbc.wowhead.com/item=32609
Stillwater Boots,Feet,3,Hyjal Summit,MH - Winterchill,epic,30873,https://tbc.wowhead.com/item=30873
Archbishop's Slippers,Feet,3,Hyjal Summit,MH - Anetheron,epic,30885,https://tbc.wowhead.com/item=30885
Enchanted Leather Sandals,Feet,3,Hyjal Summit,MH - Anetheron,epic,30886,https://tbc.wowhead.com/item=30886
Quickstrider Moccasins,Feet,3,Hyjal Summit,MH - Anetheron,epic,30880,https://tbc.wowhead.com/item=30880
Black Featherlight Boots,Feet,3,Hyjal Summit,MH - Kaz'rogal,epic,30891,https://tbc.wowhead.com/item=30891
Blue Suede Shoes,Feet,3,Hyjal Summit,MH - Kaz'rogal,epic,30894,https://tbc.wowhead.com/item=30894
Magtheridon's Head,Finger,1,Magtheridon's Lair,Magtheridon,epic,32385,https://tbc.wowhead.com/item=32385
Ring of Unrelenting Storms,Finger,1,Karazhan,Trash,epic,30667,https://tbc.wowhead.com/item=30667
Spectral Band of Innervation,Finger,1,Karazhan,Attumen,epic,28510,https://tbc.wowhead.com/item=28510
Garona's Signet Ring,Finger,1,Karazhan,The Curator,epic,28649,https://tbc.wowhead.com/item=28649
Ring of Recurrence,Finger,1,Karazhan,Chess Event,epic,28753,https://tbc.wowhead.com/item=28753
Mender's Heart-Ring,Finger,1,Karazhan,Illhoof,epic,28661,https://tbc.wowhead.com/item=28661
Shermanar Great-Ring,Finger,1,Karazhan,Shade of Aran,epic,28675,https://tbc.wowhead.com/item=28675
Mithril Band of the Unscarred,Finger,1,Karazhan,Netherspite,epic,28730,https://tbc.wowhead.com/item=28730
Jade Ring of the Everliving,Finger,1,Karazhan,Malchezaar,epic,28763,https://tbc.wowhead.com/item=28763
Ring of a Thousand Marks,Finger,1,Karazhan,Malchezaar,epic,28757,https://tbc.wowhead.com/item=28757
Seventh Ring of the Tirisfalen,Finger,2,Tempest Keep,Trash,epic,30028,https://tbc.wowhead.com/item=30028
Band of Al'ar,Finger,2,Tempest Keep,Al'ar,epic,29922,https://tbc.wowhead.com/item=29922
Phoenix-Ring of Rebirth,Finger,2,Tempest Keep,Al'ar,epic,29920,https://tbc.wowhead.com/item=29920
Band of the Ranger-General,Finger,2,Tempest Keep,Kael'thas,epic,29997,https://tbc.wowhead.com/item=29997
Band of Vile Aggression,Finger,2,Serpentshrine Cavern,Hydross,epic,33055,https://tbc.wowhead.com/item=33055
Ring of Lethality,Finger,2,Serpentshrine Cavern,Hydross,epic,30052,https://tbc.wowhead.com/item=30052
Ancestral Ring of Conquest,Finger,2,Serpentshrine Cavern,Lurker Below,epic,30061,https://tbc.wowhead.com/item=30061
The Seal of Danzalar,Finger,2,Serpentshrine Cavern,Lurker Below,epic,33054,https://tbc.wowhead.com/item=33054
Band of the Vigilant,Finger,2,Serpentshrine Cavern,Morogrim,epic,33058,https://tbc.wowhead.com/item=33058
Ring of Sundered Souls,Finger,2,Serpentshrine Cavern,Morogrim,epic,30083,https://tbc.wowhead.com/item=30083
Coral Band of the Revived,Finger,2,Serpentshrine Cavern,Lady Vashj,epic,30110,https://tbc.wowhead.com/item=30110
Ring of Endless Coils,Finger,2,Serpentshrine Cavern,Lady Vashj,epic,30109,https://tbc.wowhead.com/item=30109
Band of Devastation,Finger,3,Black Temple,BT - Trash & Recipies,epic,32526,https://tbc.wowhead.com/item=32526
Blessed Band of Karabor,Finger,3,Black Temple,BT - Trash & Recipies,epic,32528,https://tbc.wowhead.com/item=32528
Ring of Ancient Knowledge,Finger,3,Black Temple,BT - Trash & Recipies,epic,32527,https://tbc.wowhead.com/item=32527
Ring of Calming Waves,Finger,3,Black Temple,BT - Naj'entus,epic,32238,https://tbc.wowhead.com/item=32238
Ring of Captured Storms,Finger,3,Black Temple,BT - Naj'entus,epic,32247,https://tbc.wowhead.com/item=32247
Band of the Abyssal Lord,Finger,3,Black Temple,BT - Supremus,epic,32261,https://tbc.wowhead.com/item=32261
Ring of Deceitful Intent,Finger,3,Black Temple,BT - Shade,epic,32266,https://tbc.wowhead.com/item=32266
Unstoppable Aggressor's Ring,Finger,3,Black Temple,BT - Gurtogg,epic,32335,https://tbc.wowhead.com/item=32335
Stormrage Signet Ring,Finger,3,Black Temple,BT - Illidan,epic,32497,https://tbc.wowhead.com/item=32497
Liar's Tongue Gloves,Hands,1,Magtheridon's Lair,Magtheridon,epic,28776,https://tbc.wowhead.com/item=28776
Soul-Eater's Handwraps,Hands,1,Magtheridon's Lair,Magtheridon,epic,28780,https://tbc.wowhead.com/item=28780
Gauntlets of Martial Perfection,Hands,1,Gruul's Lair,Gruul,epic,28824,https://tbc.wowhead.com/item=28824
Gauntlets of the Dragonslayer,Hands,1,Gruul's Lair,Gruul,epic,28827,https://tbc.wowhead.com/item=28827
Grasp of the Dead,Hands,1,Karazhan,Trash,epic,30668,https://tbc.wowhead.com/item=30668
Grips of Deftness,Hands,1,Karazhan,Trash,epic,30644,https://tbc.wowhead.com/item=30644
Gloves of Dexterous Manipulation,Hands,1,Karazhan,Attumen,epic,28506,https://tbc.wowhead.com/item=28506
Gloves of Saintly Blessings,Hands,1,Karazhan,Attumen,epic,28508,https://tbc.wowhead.com/item=28508
Handwraps of Flowing Thought,Hands,1,Karazhan,Attumen,epic,28507,https://tbc.wowhead.com/item=28507
Gloves of Centering,Hands,1,Karazhan,Maiden,epic,28520,https://tbc.wowhead.com/item=28520
Gloves of Quickening,Hands,1,Karazhan,Maiden,epic,28519,https://tbc.wowhead.com/item=28519
Iron Gauntlets of the Maiden,Hands,1,Karazhan,Maiden,epic,28518,https://tbc.wowhead.com/item=28518
Mitts of the Treemender,Hands,1,Karazhan,Maiden,epic,28521,https://tbc.wowhead.com/item=28521
Gloves of the Fallen Champion,Hands,1,Karazhan,The Curator,epic,29757,https://tbc.wowhead.com/item=29757
Gloves of the Fallen Defender,Hands,1,Karazhan,The Curator,epic,29758,https://tbc.wowhead.com/item=29758
Gloves of the Fallen Hero,Hands,1,Karazhan,The Curator,epic,29756,https://tbc.wowhead.com/item=29756
Bark-Gloves of Ancient Wisdom,Hands,2,Tempest Keep,Trash,epic,30029,https://tbc.wowhead.com/item=30029
Gloves of the Searing Grip,Hands,2,Tempest Keep,Al'ar,epic,29947,https://tbc.wowhead.com/item=29947
Worldstorm Gauntlets,Hands,2,Tempest Keep,Solarian,epic,29976,https://tbc.wowhead.com/item=29976
Gauntlets of the Sun King,Hands,2,Tempest Keep,Kael'thas,epic,29987,https://tbc.wowhead.com/item=29987
Royal Gauntlets of Silvermoon,Hands,2,Tempest Keep,Kael'thas,epic,29998,https://tbc.wowhead.com/item=29998
Gloves of the Vanquished Champion,Hands,2,Serpentshrine Cavern,Leotheras,epic,30239,https://tbc.wowhead.com/item=30239
Gloves of the Vanquished Defender,Hands,2,Serpentshrine Cavern,Leotheras,epic,30240,https://tbc.wowhead.com/item=30240
Gloves of the Vanquished Hero,Hands,2,Serpentshrine Cavern,Leotheras,epic,30241,https://tbc.wowhead.com/item=30241
Glorious Gauntlets of Crestfall,Hands,2,Serpentshrine Cavern,Lady Vashj,epic,30112,https://tbc.wowhead.com/item=30112
Pillager's Gauntlets,Hands,3,Black Temple,BT - Trash & Recipies,epic,32608,https://tbc.wowhead.com/item=32608
Fists of Mukoa,Hands,3,Black Temple,BT - Naj'entus,epic,32234,https://tbc.wowhead.com/item=32234
Grips of Silent Justice,Hands,3,Black Temple,BT - Shade,epic,32278,https://tbc.wowhead.com/item=32278
Spiritwalker Gauntlets,Hands,3,Black Temple,BT - Shade,epic,32275,https://tbc.wowhead.com/item=32275
Botanist's Gloves of Growth,Hands,3,Black Temple,BT - Gorefiend,epic,32328,https://tbc.wowhead.com/item=32328
Gauntlets of Enforcement,Hands,3,Black Temple,BT - Gorefiend,epic,32280,https://tbc.wowhead.com/item=32280
Gloves of Unfailing Faith,Hands,3,Black Temple,BT - Reliquary,epic,32353,https://tbc.wowhead.com/item=32353
Grips of Damnation,Hands,3,Black Temple,BT - Reliquary,epic,32347,https://tbc.wowhead.com/item=32347
Gloves of the Forgotten Conqueror,Hands,3,Hyjal Summit,MH - Azgalor,epic,31092,https://tbc.wowhead.com/item=31092
Gloves of the Forgotten Protector,Hands,3,Hyjal Summit,MH - Azgalor,epic,31094,https://tbc.wowhead.com/item=31094
Gloves of the Forgotten Vanquisher,Hands,3,Hyjal Summit,MH - Azgalor,epic,31093,https://tbc.wowhead.com/item=31093
Thundering Greathelm,Head,1,Magtheridon's Lair,Magtheridon,epic,28775,https://tbc.wowhead.com/item=28775
Malefic Mask of the Shadows,Head,1,Gruul's Lair,Maulgar,epic,28796,https://tbc.wowhead.com/item=28796
Maulgar's Warhelm,Head,1,Gruul's Lair,Maulgar,epic,28801,https://tbc.wowhead.com/item=28801
Collar of Cho'gall,Head,1,Gruul's Lair,Gruul,epic,28804,https://tbc.wowhead.com/item=28804
Cowl of Nature's Breath,Head,1,Gruul's Lair,Gruul,epic,28803,https://tbc.wowhead.com/item=28803
Big Bad Wolf's Head,Head,1,Karazhan,Opera Event,epic,28583,https://tbc.wowhead.com/item=28583
Eternium Greathelm,Head,1,Karazhan,Opera Event,epic,28593,https://tbc.wowhead.com/item=28593
Wicked Witch's Hat,Head,1,Karazhan,Opera Event,epic,28586,https://tbc.wowhead.com/item=28586
Headdress of the High Potentate,Head,1,Karazhan,Chess Event,epic,28756,https://tbc.wowhead.com/item=28756
Steelspine Faceguard,Head,1,Karazhan,Shade of Aran,epic,28671,https://tbc.wowhead.com/item=28671
Cowl of Defiance,Head,1,Karazhan,Netherspite,epic,28732,https://tbc.wowhead.com/item=28732
Uni-Mind Headdress,Head,1,Karazhan,Netherspite,epic,28744,https://tbc.wowhead.com/item=28744
Helm of the Fallen Champion,Head,1,Karazhan,Malchezaar,epic,29760,https://tbc.wowhead.com/item=29760
Helm of the Fallen Defender,Head,1,Karazhan,Malchezaar,epic,29761,https://tbc.wowhead.com/item=29761
Helm of the Fallen Hero,Head,1,Karazhan,Malchezaar,epic,29759,https://tbc.wowhead.com/item=29759
Cowl of the Grand Engineer,Head,2,Tempest Keep,Void Reaver,epic,29986,https://tbc.wowhead.com/item=29986
Fel-Steel Warhelm,Head,2,Tempest Keep,Void Reaver,epic,29983,https://tbc.wowhead.com/item=29983
Crown of the Sun,Head,2,Tempest Keep,Kael'thas,epic,29990,https://tbc.wowhead.com/item=29990
Brighthelm of Justice,Head,2,Serpentshrine Cavern,Hydross,epic,30048,https://tbc.wowhead.com/item=30048
Helm of the Vanquished Champion,Head,2,Serpentshrine Cavern,Lady Vashj,epic,30242,https://tbc.wowhead.com/item=30242
Helm of the Vanquished Defender,Head,2,Serpentshrine Cavern,Lady Vashj,epic,30243,https://tbc.wowhead.com/item=30243
Helm of the Vanquished Hero,Head,2,Serpentshrine Cavern,Lady Vashj,epic,30244,https://tbc.wowhead.com/item=30244
Guise of the Tidal Lurker,Head,3,Black Temple,BT - Naj'entus,epic,32240,https://tbc.wowhead.com/item=32240
Helm of Soothing Currents,Head,3,Black Temple,BT - Naj'entus,epic,32241,https://tbc.wowhead.com/item=32241
Cowl of Benevolence,Head,3,Black Temple,BT - Gorefiend,epic,32329,https://tbc.wowhead.com/item=32329
Crown of Empowered Fate,Head,3,Black Temple,BT - Reliquary,epic,32354,https://tbc.wowhead.com/item=32354
Forest Prowler's Helm,Head,3,Black Temple,BT - Council,epic,32376,https://tbc.wowhead.com/item=32376
Helm of the Illidari Shatterer,Head,3,Black Temple,BT - Council,epic,32373,https://tbc.wowhead.com/item=32373
Cowl of the Illidari High Lord,Head,3,Black Temple,BT - Illidan,epic,32525,https://tbc.wowhead.com/item=32525
Cursed Vision of Sargeras,Head,3,Black Temple,BT - Illidan,epic,32235,https://tbc.wowhead.com/item=32235
Faceplate of the Impenetrable,Head,3,Black Temple,BT - Illidan,epic,32521,https://tbc.wowhead.com/item=32521
Helm of the Forgotten Conqueror,Head,3,Hyjal Summit,MH - Archimonde,epic,31097,https://tbc.wowhead.com/item=31097
Helm of the Forgotten Protector,Head,3,Hyjal Summit,MH - Archimonde,epic,31095,https://tbc.wowhead.com/item=31095
Helm of the Forgotten Vanquisher,Head,3,Hyjal Summit,MH - Archimonde,epic,31096,https://tbc.wowhead.com/item=31096
Leggings of the Fallen Champion,Legs,1,Gruul's Lair,Gruul,epic,29766,https://tbc.wowhead.com/item=29766
Leggings of the Fallen Defender,Legs,1,Gruul's Lair,Gruul,epic,29767,https://tbc.wowhead.com/item=29767
Leggings of the Fallen Hero,Legs,1,Gruul's Lair,Gruul,epic,29765,https://tbc.wowhead.com/item=29765
Earthsoul Leggings,Legs,1,Karazhan,Opera Event,epic,28591,https://tbc.wowhead.com/item=28591
Trial-Fire Trousers,Legs,1,Karazhan,Opera Event,epic,28594,https://tbc.wowhead.com/item=28594
Wrynn Dynasty Greaves,Legs,1,Karazhan,The Curator,epic,28621,https://tbc.wowhead.com/item=28621
Heart-Flame Leggings,Legs,1,Karazhan,Chess Event,epic,28751,https://tbc.wowhead.com/item=28751
Legplates of the Innocent,Legs,1,Karazhan,Chess Event,epic,28748,https://tbc.wowhead.com/item=28748
Pantaloons of Repentance,Legs,1,Karazhan,Netherspite,epic,28742,https://tbc.wowhead.com/item=28742
Rip-Flayer Leggings,Legs,1,Karazhan,Netherspite,epic,28740,https://tbc.wowhead.com/item=28740
Skulker's Greaves,Legs,1,Karazhan,Netherspite,epic,28741,https://tbc.wowhead.com/item=28741
Void Reaver Greaves,Legs,2,Tempest Keep,Void Reaver,epic,29985,https://tbc.wowhead.com/item=29985
